64	77
64.25	77
64.5	65
64.75	78
65	87
65.25	71
65.5	72
65.75	85
66	84
66.25	75
66.5	72
66.75	88
67	81
67.25	89
67.5	90
67.75	83
68	87
68.25	79
68.5	88
68.75	86
69	100
69.25	100
69.5	94
69.75	96
70	98
70.25	84
70.5	87
70.75	94
71	92
71.25	114
71.5	96
71.75	86
72	96
72.25	96
72.5	105
72.75	107
73	132
73.25	119
73.5	94
73.75	108
74	102
74.25	121
74.5	106
74.75	119
75	115
75.25	97
75.5	104
75.75	117
76	109
76.25	106
76.5	112
76.75	137
77	121
77.25	129
77.5	132
77.75	129
78	123
78.25	141
78.5	137
78.75	143
79	123
79.25	147
79.5	132
79.75	135
80	128
80.25	145
80.5	113
80.75	141
81	130
81.25	149
81.5	147
81.75	141
82	134
82.25	129
82.5	156
82.75	138
83	146
83.25	149
83.5	173
83.75	151
84	152
84.25	154
84.5	144
84.75	148
85	163
85.25	191
85.5	158
85.75	171
86	134
86.25	153
86.5	158
86.75	159
87	197
87.25	163
87.5	171
87.75	161
88	162
88.25	144
88.5	169
88.75	191
89	165
89.25	160
89.5	152
89.75	152
90	185
90.25	165
90.5	164
90.75	165
91	166
91.25	145
91.5	137
91.75	165
92	156
92.25	157
92.5	164
92.75	173
93	143
93.25	124
93.5	129
93.75	125
94	135
94.25	126
94.5	122
94.75	134
95	128
95.25	125
95.5	121
95.75	119
96	128
96.25	118
96.5	135
96.75	124
97	142
97.25	120
97.5	110
97.75	114
98	111
98.25	100
98.5	112
98.75	103
99	91
99.25	83
99.5	103
99.75	82
100	87
100.25	96
100.5	116
100.75	93
101	101
101.25	95
101.5	87
101.75	89
102	121
102.25	115
102.5	117
102.75	96
103	89
103.25	93
103.5	87
103.75	87
104	95
104.25	67
104.5	89
104.75	98
105	68
105.25	93
105.5	84
105.75	75
106	85
106.25	78
106.5	80
106.75	69
107	77
107.25	78
107.5	85
107.75	83
108	80
108.25	74
108.5	76
108.75	66
109	69
109.25	69
109.5	67
109.75	78
110	73
110.25	71
110.5	65
110.75	71
111	72
111.25	58
111.5	66
111.75	58
112	64
112.25	84
112.5	44
112.75	52
113	72
113.25	51
113.5	52
113.75	62
114	59
114.25	64
114.5	45
114.75	53
115	52
115.25	55
115.5	64
115.75	64
116	55
116.25	58
116.5	49
116.75	50
117	47
117.25	45
117.5	62
117.75	42
118	43
118.25	52
118.5	42
118.75	58
119	53
119.25	44
119.5	47
119.75	54
120	54
120.25	41
120.5	35
120.75	40
121	32
121.25	51
121.5	36
121.75	49
122	40
122.25	40
122.5	46
122.75	40
123	42
123.25	40
123.5	40
123.75	37
124	37
124.25	45
124.5	37
124.75	33
125	48
125.25	30
125.5	37
125.75	47
126	35
126.25	37
126.5	34
126.75	32
127	31
127.25	28
127.5	35
127.75	32
128	38
128.25	27
128.5	25
128.75	41
129	28
129.25	45
129.5	38
129.75	33
130	38
130.25	24
130.5	35
130.75	33
131	28
131.25	26
131.5	33
131.75	25
132	40
132.25	23
132.5	28
132.75	32
133	15
133.25	24
133.5	27
133.75	24
134	36
134.25	24
134.5	28
134.75	26
135	28
135.25	21
135.5	28
135.75	29
136	23
136.25	23
136.5	18
136.75	20
137	35
137.25	20
137.5	24
137.75	27
138	31
138.25	22
138.5	27
138.75	23
139	23
139.25	28
139.5	29
139.75	31
140	34
140.25	25
140.5	20
140.75	19
141	21
141.25	17
141.5	25
141.75	23
142	20
142.25	20
142.5	19
142.75	20
143	13
143.25	17
143.5	27
143.75	25
144	14
144.25	15
144.5	16
144.75	8
145	18
145.25	13
145.5	18
145.75	23
146	23
146.25	13
146.5	23
146.75	13
147	12
147.25	11
147.5	25
147.75	21
148	15
148.25	18
148.5	18
148.75	11
149	9
149.25	17
149.5	21
149.75	21
150	12
150.25	13
150.5	15
150.75	16
151	10
151.25	23
151.5	12
151.75	17
152	15
152.25	8
152.5	6
152.75	19
153	14
153.25	21
153.5	18
153.75	13
154	21
154.25	18
154.5	16
154.75	19
155	14
155.25	11
155.5	14
155.75	12
156	14
156.25	11
156.5	13
156.75	9
157	19
157.25	13
157.5	12
157.75	20
158	8
158.25	13
158.5	10
158.75	11
159	6
159.25	17
159.5	10
159.75	12
160	10
160.25	10
160.5	10
160.75	11
161	17
161.25	10
161.5	18
161.75	8
162	10
162.25	12
162.5	10
162.75	8
163	9
163.25	12
163.5	10
163.75	10
164	7
164.25	10
164.5	10
164.75	9
165	13
165.25	13
165.5	9
165.75	10
166	15
166.25	14
166.5	13
166.75	6
167	10
167.25	11
167.5	13
167.75	7
168	8
168.25	7
168.5	6
168.75	9
169	8
169.25	10
169.5	9
169.75	7
170	12
170.25	13
170.5	12
170.75	8
171	10
171.25	9
171.5	14
171.75	8
172	7
172.25	6
172.5	6
172.75	9
173	11
173.25	7
173.5	7
173.75	9
174	7
174.25	6
174.5	6
174.75	7
175	4
175.25	5
175.5	11
175.75	12
176	8
176.25	7
176.5	9
176.75	4
177	16
177.25	6
177.5	13
177.75	7
178	9
178.25	6
178.5	16
178.75	8
179	16
179.25	7
179.5	9
179.75	4
180	16
180.25	3
180.5	5
180.75	7
181	4
181.25	9
181.5	6
181.75	6
182	6
182.25	14
182.5	10
182.75	10
183	5
183.25	8
183.5	4
183.75	10
184	7
184.25	5
184.5	3
184.75	9
185	8
185.25	6
185.5	11
185.75	6
186	9
186.25	9
186.5	8
186.75	4
187	7
187.25	10
187.5	6
187.75	7
188	12
188.25	7
188.5	5
188.75	8
189	8
189.25	12
189.5	2
189.75	6
190	11
190.25	7
190.5	10
190.75	6
191	9
191.25	11
191.5	4
191.75	5
192	9
192.25	4
192.5	9
192.75	8
193	5
193.25	2
193.5	6
193.75	7
194	6
194.25	6
194.5	3
194.75	4
195	4
195.25	6
195.5	5
195.75	6
196	3
196.25	4
196.5	5
196.75	6
197	3
197.25	8
197.5	9
197.75	4
198	6
198.25	10
198.5	5
198.75	7
199	6
199.25	9
199.5	6
199.75	9
200	5
200.25	6
200.5	6
200.75	7
201	6
201.25	7
201.5	8
201.75	10
202	9
202.25	5
202.5	4
202.75	7
203	5
203.25	2
203.5	4
203.75	8
204	7
204.25	6
204.5	6
204.75	2
205	3
205.25	10
205.5	11
205.75	4
206	6
206.25	5
206.5	10
206.75	7
207	4
207.25	9
207.5	6
207.75	5
208	4
208.25	9
208.5	3
208.75	8
209	13
209.25	7
209.5	8
209.75	7
210	7
210.25	6
210.5	11
210.75	5
211	4
211.25	3
211.5	4
211.75	6
212	8
212.25	4
212.5	4
212.75	5
213	4
213.25	3
213.5	4
213.75	7
214	10
214.25	8
214.5	8
214.75	5
215	6
215.25	6
215.5	2
215.75	6
216	4
216.25	5
216.5	8
216.75	5
217	5
217.25	3
217.5	5
217.75	7
218	6
218.25	7
218.5	7
218.75	6
219	7
219.25	6
219.5	3
219.75	2
220	1
220.25	2
220.5	2
220.75	5
221	4
221.25	4
221.5	10
221.75	4
222	9
222.25	5
222.5	5
222.75	8
223	3
223.25	4
223.5	5
223.75	3
224	7
224.25	3
224.5	9
224.75	2
225	8
225.25	2
225.5	6
225.75	11
226	8
226.25	9
226.5	7
226.75	5
227	4
227.25	6
227.5	5
227.75	2
228	11
228.25	6
228.5	4
228.75	6
229	5
229.25	5
229.5	3
229.75	6
230	6
230.25	6
230.5	10
230.75	6
231	5
231.25	5
231.5	8
231.75	7
232	8
232.25	4
232.5	7
232.75	3
233	5
233.25	7
233.5	8
233.75	6
234	5
234.25	8
234.5	6
234.75	7
235	6
235.25	4
235.5	6
235.75	5
236	7
236.25	8
236.5	3
236.75	3
237	10
237.25	5
237.5	7
237.75	5
238	6
238.25	9
238.5	5
238.75	7
239	7
239.25	5
239.5	5
239.75	3
240	2
240.25	6
240.5	2
240.75	2
241	6
241.25	3
241.5	4
241.75	5
242	8
242.25	9
242.5	6
242.75	5
243	4
243.25	4
243.5	3
243.75	1
244	3
244.25	6
244.5	7
244.75	6
245	4
245.25	3
245.5	5
245.75	5
246	4
246.25	5
246.5	3
246.75	3
247	6
247.25	5
247.5	8
247.75	8
248	6
248.25	5
248.5	5
248.75	6
249	7
249.25	3
249.5	8
249.75	8
250	5
250.25	4
250.5	8
250.75	2
251	5
251.25	6
251.5	7
251.75	4
252	5
252.25	6
252.5	1
252.75	5
253	6
253.25	7
253.5	9
253.75	4
254	1
254.25	5
254.5	3
254.75	9
255	6
255.25	2
255.5	7
255.75	9
